Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Year
Southern Severe Storms and Flooding (April 1980),Flooding,1980-04-10,19800417,2756.4,706.8,30,1980
Hurricane Allen (August 1980),Tropical Cyclone,1980-08-07,19800811,2236.2,590.0,13,1980
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,1980-06-01,19801130,40681.2,10020.0,1260,1980
Florida Freeze (January 1981),Freeze,1981-01-12,19810114,2076.4,572.0,0,1981
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,1981-05-05,19810510,1409.1,401.4,20,1981
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,1982-01-08,19820116,2217.8,662.0,85,1982
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,1982-04-02,19820404,1609.0,483.2,33,1982
Severe Storms (June 1982),Severe Storm,1982-05-31,19820610,1579.0,479.9,30,1982
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,1982-12-01,19830115,4946.2,1536.1,45,1982
Western Storms and Flooding (December 1982-March 1983),Flooding,1982-12-13,19830331,4828.7,1499.6,50,1982
Hurricane Alicia (August 1983),Tropical Cyclone,1983-08-17,19830820,9450.0,3000.0,21,1983
Southeast Drought (Summer 1983),Drought,1983-06-01,19830831,9574.0,2964.1,0,1983
Arizona Flooding (October 1983),Flooding,1983-09-29,19831003,1252.0,400.0,14,1983
Freeze/Cold Wave (December 1983),Freeze,1983-12-15,19831225,6479.5,2005.8,151,1983
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,1984-03-27,19840407,1857.4,603.1,80,1984
Severe Storms and Hail (June 1984),Severe Storm,1984-06-13,19840617,1356.4,446.2,1,1984
Florida Freeze (January 1985),Freeze,1985-01-20,19850122,3588.0,1200.0,0,1985
"Winter Storm, Cold Wave (January 1985)",Winter Storm,1985-01-19,19850122,2502.4,836.9,150,1985
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,1985-05-31,19850531,1758.1,600.0,89,1985
Hurricane Elena (September 1985),Tropical Cyclone,1985-08-30,19850903,3788.4,1297.4,4,1985
Hurricane Gloria (September 1985),Tropical Cyclone,1985-09-26,19850928,2491.3,856.1,11,1985
Hurricane Juan (October 1985),Tropical Cyclone,1985-10-27,19851031,4340.4,1496.7,63,1985
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,1985-11-03,19851108,4060.0,1400.0,62,1985
Western Severe Storms and Flooding (February 1986),Severe Storm,1986-02-14,19860216,1531.1,529.8,13,1986
Southeast Drought/Heat Wave (Summer 1986),Drought,1986-06-01,19860831,5194.5,1803.6,100,1986
Michigan Flooding (September 1986),Flooding,1986-09-10,19860912,1144.0,400.0,10,1986
U.S. Drought/Heat Wave (Summer 1988),Drought,1988-06-01,19880831,54610.4,20003.8,454,1988
Southern Derecho and Severe Storms (May 1989),Severe Storm,1989-05-01,19890506,1406.3,551.5,21,1989
Tropical Storm Allison (June 1989),Tropical Cyclone,1989-06-26,19890628,1485.9,585.0,11,1989
Hurricane Hugo (September 1989),Tropical Cyclone,1989-09-21,19890922,22679.7,8999.9,86,1989
Northern Plains Drought (Summer-Fall 1989),Drought,1989-06-01,19891130,7838.3,3003.2,0,1989
Florida Freeze (December 1989),Freeze,1989-12-23,19891225,5220.0,2000.0,10,1989
"Winter Storm, Cold Wave (December 1989)",Winter Storm,1989-12-21,19891226,1700.4,680.0,100,1989
Southern Flooding (May 1990),Flooding,1990-05-11,19900519,2456.9,1006.9,13,1990
Colorado Hail Storm (July 1990),Severe Storm,1990-07-11,19900711,1984.5,820.1,0,1990
Western Fire Season (Summer 1990),Wildfire,1990-06-01,19900831,1716.0,715.0,17,1990
California Freeze (December 1990),Freeze,1990-12-18,19901225,8432.0,3400.0,0,1990
"Severe Storms, Tornadoes (March 1991)",Severe Storm,1991-03-26,19910329,1509.4,645.0,0,1991
Hurricane Bob (August 1991),Tropical Cyclone,1991-08-18,19910820,3471.8,1502.9,18,1991
U.S. Drought (Spring-Summer 1991),Drought,1991-03-01,19910831,7039.8,3008.5,0,1991
Oakland Firestorm (October 1991),Wildfire,1991-10-01,19911031,7590.0,3300.0,25,1991
Severe Storms (March 1992),Severe Storm,1992-03-24,19920325,1825.8,804.3,0,1992
"Hail, Tornadoes (April 1992)",Severe Storm,1992-04-28,19920429,2157.0,954.4,0,1992
"Severe Storms, Hail (June 1992)",Severe Storm,1992-06-19,19920620,1683.1,748.0,0,1992
Hurricane Andrew (August 1992),Tropical Cyclone,1992-08-23,19920827,60480.0,27000.0,61,1992
Hurricane Iniki (September 1992),Tropical Cyclone,1992-09-11,19920912,6913.0,3100.0,7,1992
Southeast Severe Weather (November 1992),Severe Storm,1992-11-21,19921123,1458.5,657.0,26,1992
Northeast Winter Storm (December 1992),Winter Storm,1992-12-10,19921213,5512.4,2483.0,19,1992
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,1993-03-11,19930314,12214.8,5527.0,270,1993
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,1993-07-08,19930710,1410.4,644.0,1,1993
Midwest Flooding (Summer 1993),Flooding,1993-06-27,19930815,46323.6,20960.9,48,1993
Southeast Drought and Heat Wave (Summer 1993),Drought,1993-06-01,19930831,2780.2,1258.0,16,1993
California Wildfires (Fall 1993),Wildfire,1993-09-01,19931130,2989.9,1371.5,4,1993
"Winter Storm, Cold Wave (January 1994)",Winter Storm,1994-01-17,19940120,2246.3,1040.0,70,1994
Southeast Ice Storm (February 1994),Winter Storm,1994-02-08,19940213,6444.9,2997.5,9,1994
Midwest/Plains Tornadoes (April 1994),Severe Storm,1994-04-25,19940427,2108.4,985.1,3,1994
Tropical Storm Alberto (July 1994),Tropical Cyclone,1994-07-07,19940710,2126.8,998.5,32,1994
Texas Flooding (October 1994),Flooding,1994-10-16,19941025,2110.0,1000.0,19,1994
Western Fire Season (Summer-Fall 1994),Wildfire,1994-06-01,19941130,1544.4,725.0,0,1994
California Flooding (January-March 1995),Flooding,1995-01-01,19950331,5250.0,2500.0,27,1995
Texas Hail Storm (April 1995),Severe Storm,1995-04-28,19950428,1196.0,575.0,0,1995
South Plains Severe Weather (May 1995),Severe Storm,1995-05-05,19950507,11357.0,5486.5,32,1995
Hurricane Erin (August 1995),Tropical Cyclone,1995-08-01,19950807,1751.0,850.0,6,1995
Hurricane Marilyn (September 1995),Tropical Cyclone,1995-09-15,19950917,4326.0,2100.0,13,1995
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,1995-07-01,19950930,2027.0,984.0,872,1995
Hurricane Opal (October 1995),Tropical Cyclone,1995-10-04,19951006,9612.5,4689.0,27,1995
Blizzard/Floods (January 1996),Winter Storm,1996-01-01,19960131,6126.2,3003.0,187,1996
Pacific Northwest Severe Flooding (February 1996),Flooding,1996-02-07,19960212,2056.9,1008.3,9,1996
Southern Plains Drought (Spring-Summer 1996),Drought,1996-03-01,19960831,3654.5,1791.5,0,1996
Hurricane Fran (September 1996),Tropical Cyclone,1996-09-05,19960908,10014.0,5007.0,37,1996
New England Flooding (October 1996),Flooding,1996-10-19,19961022,1352.0,676.0,1,1996
West Coast Flooding (December 1996-January 1997),Flooding,1997-01-01,19970111,5973.6,3017.0,36,1997
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,1997-02-28,19970305,1935.5,977.5,67,1997
Northern Plains Flooding (Spring 1997),Flooding,1997-02-03,19970524,7279.5,3676.5,11,1997
Northeast Ice Storm (January 1998),Winter Storm,1998-01-05,19980109,2733.5,1401.8,16,1998
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,1997-12-01,19980228,1968.7,1004.5,132,1997
Minnesota Severe Storms/Hail (May 1998),Severe Storm,1998-05-15,19980515,3164.6,1631.3,1,1998
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,1998-05-30,19980602,2208.3,1138.4,20,1998
Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,1998-06-20,19980624,1734.5,894.0,12,1998
Tropical Storm Frances (September 1998),Tropical Cyclone,1998-08-08,19980813,1351.0,700.0,2,1998
Hurricane Bonnie (August 1998),Tropical Cyclone,1998-08-27,19980829,1891.4,980.0,3,1998
Southern Drought and Heat Wave (Summer 1998),Drought,1998-06-01,19980831,6879.7,3528.0,200,1998
Hurricane Georges (September 1998),Tropical Cyclone,1998-09-20,19980929,11550.1,5984.5,16,1998
Texas Flooding (October 1998),Flooding,1998-10-16,19981024,1808.8,942.1,31,1998
California Freeze (December 1998),Freeze,1998-12-20,19981228,4875.0,2500.0,0,1998
Central and Eastern Winter Storm (January 1999),Winter Storm,1999-01-01,19990104,1982.3,1032.5,25,1999
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,1999-01-13,19990116,1693.4,882.0,0,1999
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,1999-05-03,19990506,3823.3,2012.1,55,1999
Eastern Drought/Heat Wave (Summer 1999),Drought,1999-06-01,19990831,4797.8,2498.9,502,1999
Hurricane Floyd (September 1999),Tropical Cyclone,1999-09-14,19990916,12203.2,6491.0,77,1999
Southeast Winter Storm (January 2000),Winter Storm,2000-01-21,20000124,1320.3,706.0,4,2000
Southern Severe Weather (March 2000),Severe Storm,2000-03-28,20000329,1269.6,690.0,0,2000
Western Fire Season (Spring-Summer 2000),Wildfire,2000-03-01,20000831,1978.0,1075.0,0,2000
South Florida Flooding (October 2000),Flooding,2000-10-03,20001004,1629.0,900.0,3,2000
Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,2000-03-01,20001130,9344.8,4997.2,140,2000
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,2001-04-06,20010411,5508.7,3094.8,3,2001
North Central Severe Weather (May 2001),Severe Storm,2001-04-30,20010501,1194.3,671.0,0,2001
Tropical Storm Allison (June 2001),Tropical Cyclone,2001-06-05,20010617,15084.0,8522.0,43,2001
Severe Storms and Tornadoes (April 2002),Severe Storm,2002-04-27,20020428,3685.0,2093.8,7,2002
Hurricane Lili (October 2002),Tropical Cyclone,2002-08-01,20020805,1932.9,1104.5,2,2002
Tropical Storm Isidore (September 2002),Tropical Cyclone,2002-09-25,20020927,2001.0,1150.0,5,2002
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,2002-11-09,20021111,1252.8,720.0,28,2002
Western Fire Season (Fall 2002),Wildfire,2002-09-01,20021130,2301.8,1322.8,21,2002
U.S. Drought (Spring-Fall 2002),Drought,2002-03-01,20021130,16031.6,9006.4,0,2002
Severe Storms/Hail (April 2003),Severe Storm,2003-04-04,20030407,3451.0,2006.3,3,2003
Severe Storms/Tornadoes (May 2003),Severe Storm,2003-05-03,20030510,7100.9,4128.4,51,2003
Midwest/Plains Severe Weather (July 2003),Severe Storm,2003-07-04,20030709,1476.0,858.1,7,2003
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,2003-07-21,20030723,1734.2,1008.2,7,2003
Hurricane Isabel (September 2003),Tropical Cyclone,2003-09-18,20030919,9322.9,5484.0,55,2003
California Wildfires (Fall 2003),Wildfire,2003-09-01,20031130,6613.7,3890.4,22,2003
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,2003-03-01,20031130,8731.1,5017.7,35,2003
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,2004-05-21,20040527,1693.3,1013.9,4,2004
Colorado Hail Storms (June 2004),Severe Storm,2004-06-08,20040609,1153.7,695.0,0,2004
Hurricane Charley (August 2004),Tropical Cyclone,2004-08-13,20040814,26719.2,15999.5,35,2004
Hurricane Frances (September 2004),Tropical Cyclone,2004-09-03,20040909,16268.0,9800.0,48,2004
Hurricane Ivan (September 2004),Tropical Cyclone,2004-09-12,20040921,34031.0,20500.5,57,2004
Hurricane Jeanne (September 2004),Tropical Cyclone,2004-09-15,20040929,12444.5,7496.5,28,2004
Southeast Severe Weather (March 2005),Severe Storm,2005-03-24,20050327,1410.0,865.0,0,2005
Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,20050711,4041.9,2495.0,15,2005
Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,20050830,201297.5,125029.5,1833,2005
Midwest Drought (Spring-Summer 2005),Drought,2005-03-01,20050831,2433.6,1474.8,0,2005
Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,20050924,29415.2,18500.1,119,2005
Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,20051024,30020.0,19000.0,35,2005
Severe Storms and Tornadoes (March 2006),Severe Storm,2006-03-08,20060313,2113.3,1337.5,10,2006
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2006-04-06,20060408,2518.2,1603.8,10,2006
Midwest Tornadoes (April 2006),Severe Storm,2006-04-13,20060416,3804.9,2423.5,27,2006
Northeast Flooding (June 2006),Flooding,2006-06-25,20060628,2373.7,1521.6,20,2006
North Central Severe Weather and Tornadoes (August 2006),Severe Storm,2006-08-23,20060824,1176.6,759.0,1,2006
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006-03-01,20060831,9536.7,5997.9,0,2006
Central Severe Weather (October 2006),Severe Storm,2006-10-02,20061005,1371.3,879.0,1,2006
Numerous Wildfires (2006),Wildfire,2006-01-01,20061231,2332.8,1467.1,28,2006
California Freeze (January 2007),Freeze,2007-01-11,20070117,2184.0,1400.0,1,2007
Spring Freeze (April 2007),Freeze,2007-04-04,20070410,3188.5,2044.0,0,2007
East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-13,20070417,3836.9,2507.8,9,2007
Western Wildfires (Summer 2007),Wildfire,2007-06-01,20070831,4139.4,2741.3,12,2007
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,20071130,5519.7,3538.3,15,2007
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008-01-04,20080109,1473.0,982.0,12,2008
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,20080206,1805.3,1211.6,57,2008
Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,20080315,1673.9,1131.0,5,2008
Southern Severe Weather (April 2008),Severe Storm,2008-04-09,20080411,1528.3,1039.6,2,2008
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-22,20080527,4423.1,3029.5,13,2008
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-06,20080612,2355.7,1635.9,18,2008
Midwest Flooding (Summer 2008),Flooding,2008-04-01,20080630,14937.8,9958.4,24,2008
Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,20080725,1812.2,1267.3,3,2008
Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,20080903,8635.7,5997.0,53,2008
Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,20080914,43198.4,29998.8,112,2008
U.S. Wildfires (Fall 2008),Wildfire,2008-09-01,20081130,1777.0,1234.0,16,2008
U.S. Drought (2008),Drought,2008-01-01,20081231,10514.8,7009.8,0,2008
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-10,20090211,2592.9,1740.2,10,2009
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-25,20090328,2427.9,1640.5,0,2009
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,20090410,2116.4,1430.1,6,2009
Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-07,20090509,1274.2,861.0,7,2009
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009-06-09,20090612,1939.0,1328.1,0,2009
Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,20090720,1470.0,1000.0,0,2009
Georgia Flooding (September 2009),Flooding,2009-09-19,20090922,1311.8,898.5,10,2009
Western Wildfires (Summer-Fall 2009),Wildfire,2009-06-01,20091130,1477.4,1011.9,10,2009
Southwest/Great Plains Drought (2009),Drought,2009-01-01,20091231,5203.2,3492.0,0,2009
Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,20100211,1192.8,817.0,3,2010
Northeast Flooding (March 2010),Flooding,2010-03-01,20100331,2692.6,1844.2,11,2010
East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,20100502,3308.8,2266.3,32,2010
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010-05-10,20100512,4834.0,3333.8,3,2010
Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-10,20100615,1306.7,901.0,2,2010
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,20100723,1375.1,948.3,0,2010
Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,20101006,5472.0,3800.0,0,2010
Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,20110203,2565.7,1794.2,36,2011
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,20110405,3885.3,2775.2,9,2011
Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,20110411,3051.0,2179.3,0,2011
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,20110416,2882.9,2059.2,38,2011
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,20110420,1452.8,1037.5,0,2011
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,20110428,14310.7,10222.0,321,2011
Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,20110527,12735.6,9096.8,177,2011
Mississippi River flooding (April-May 2011),Flooding,2011-04-01,20110531,4270.1,2986.0,7,2011
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,20110622,2152.3,1537.3,3,2011
Missouri River flooding (May-June 2011),Flooding,2011-05-01,20110630,2863.3,2002.3,5,2011
"North Central Severe Weather (July 1, 2011)",Severe Storm,2011-07-01,20110701,1243.2,888.0,0,2011
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,2011-07-10,20110711,1729.1,1235.0,2,2011
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,2011-08-17,20110818,1600.4,1151.4,0,2011
Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,20110828,18756.7,13494.0,45,2011
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,20110831,17109.5,11964.8,95,2011
Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,20110905,3492.4,2512.5,21,2011
Northeastern Winter Storm (October 2011),Winter Storm,2011-10-29,20111030,1285.8,925.0,1,2011
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011-06-01,20111130,2549.1,1820.8,5,2011
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-02,20120303,4317.9,3128.8,42,2012
Texas Tornadoes (April 2012),Severe Storm,2012-04-02,20120403,1390.9,1015.3,0,2012
Midwest Tornadoes (April 2012),Severe Storm,2012-04-13,20120414,1539.4,1123.6,6,2012
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-04-28,20120501,4488.6,3276.3,1,2012
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-25,20120530,3156.1,2303.7,1,2012
Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-06,20120612,3585.0,2597.8,0,2012
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-06-29,20120702,3986.0,2888.4,28,2012
Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,20120831,3786.1,2763.5,9,2012
Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,20121031,88453.9,65039.6,159,2012
